target_name,target_pdb,description,method,substances,clustered
AA2AR,3eml,Adenosine A2a receptor,By Hand,3057,482
ABL1,2hzi,Tyrosine-protein kinase ABL,Auto,409,182
ACE,3bkl,Angiotensin-converting enzyme,Auto,749,282
ACES,1e66,Acetylcholinesterase,Auto,1581,453
ADA,2e1w,Adenosine deaminase,Auto,98,93
ADA17,2oi0,ADAM17,By Hand,1341,532
ADRB1,2vt4,Beta-1 adrenergic receptor,By Hand,648,247
ADRB2,3ny8,Beta-2 adrenergic receptor,Auto,602,231
AKT1,3cqw,Serine/threonine-protein kinase AKT,By Hand,585,293
AKT2,3d0e,Serine/threonine-protein kinase AKT2,By Hand,234,117
ALDR,2hv5,Aldose reductase,Auto,604,159
AMPC,1l2s,Beta-lactamase,By Hand,48,48
ANDR,2am9,Androgen Receptor,Auto,1046,269
AOFB,1s3b,Monoamine oxidase B,By Hand,438,122
BACE1,3l5d,Beta-secretase 1,Auto,595,283
BRAF,3d4q,Serine/threonine-protein kinase B-raf,Auto,317,152
CAH2,1bcd,Carbonic anhydrase II,Auto,1924,492
CASP3,2cnk,Caspase-3,By Hand,470,199
CDK2,1h00,Cyclin-dependent kinase 2,By Hand,1310,474
COMT,3bwm,Catechol O-methyltransferase,By Hand,41,41
CP2C9,1r9o,Cytochrome P450 2C9,By Hand,145,120
CP3A4,3nxu,Cytochrome P450 3A4,By Hand,302,170
CSF1R,3krj,Macrophage colony stimulating factor receptor,By Hand,385,166
CXCR4,3odu,C-X-C chemokine receptor type 4,By Hand,40,40
DEF,1lru,Peptide deformylase,By Hand,171,102
DHI1,3frj,11-beta-hydroxysteroid dehydrogenase 1,By Hand,836,387
DPP4,2i78,Dipeptidyl peptidase IV,Auto,1939,533
DRD3,3pbl,Dopamine D3 receptor,By Hand,2113,480
DYR,3nxo,Dihydrofolate reductase,Auto,1082,231
EGFR,2rgp,Epidermal growth factor receptor erbB1,By Hand,1612,542
ESR1,1sj0,Estrogen receptor alpha,Auto,1297,383
ESR2,2fsz,Estrogen receptor beta,Auto,1343,367
FA10,3kl6,Coagulation factor X,Auto,3090,537
FA7,1w7x,Coagulation factor VII,Auto,303,114
FABP4,2nnq,Fatty acid binding protein adipocyte,Auto,47,47
FAK1,3bz3,Focal adhesion kinase 1,Auto,101,100
FGFR1,3c4f,Fibroblast growth factor receptor 1,Auto,327,139
FKB1A,1j4h,FK506-binding protein 1A,Auto,159,111
FNTA,3e37,Protein farnesyltransferase/geranylgeranyltransferase type I alpha subunit,By Hand,1430,592
FPPS,1zw5,Farnesyl diphosphate synthase,By Hand,85,85
GCR,3bqd,Glucocorticoid receptor,Auto,972,258
GLCM,2v3f,Beta-glucocerebrosidase,Auto,54,54
GRIA2,3kgc,"Glutamate receptor ionotropic, AMPA 2",By Hand,476,158
GRIK1,1vso,Glutamate receptor ionotropic kainate 1,Auto,136,101
HDAC2,3max,Histone deacetylase 2,By Hand,407,185
HDAC8,3f07,Histone deacetylase 8,By Hand,309,170
HIVINT,3nf7,Human immunodeficiency virus type 1 integrase,By Hand,167,100
HIVPR,1xl2,Human immunodeficiency virus type 1 protease,By Hand,1468,536
HIVRT,3lan,Human immunodeficiency virus type 1 reverse transcriptase,Auto,1178,338
HMDH,3ccw,HMG-CoA reductase,Auto,527,170
HS90A,1uyg,Heat shock protein HSP 90-alpha,By Hand,88,88
HXK4,3f9m,Hexokinase type IV,Auto,136,92
IGF1R,2oj9,Insulin-like growth factor I receptor,Auto,370,148
INHA,2h7l,Enoyl-[acyl-carrier-protein] reductase,Auto,44,44
ITAL,2ica,Leukocyte adhesion glycoprotein LFA-1 alpha,Auto,324,138
JAK2,3lpb,Tyrosine-protein kinase JAK2,By Hand,246,130
KIF11,3cjo,Kinesin-like protein 1,Auto,272,116
